year;age;sex;s1;s2;s3;mortality;population;employment;working;absence;cancer;absence_pc;employment_s_n;employment_w_s;absence_s_n;absence_w_s;cancer_s_n;cancer_w_s;mortality_s_n;mortality_w_s;mortality_denominator;mortality_s1;mortality_s2;mortality_s3;employment_denominator;employment_s1;employment_s2;employment_s3;absence_denominator;absence_s1;absence_s2;absence_s3;cancer_denominator;cancer_s1;cancer_s2;cancer_s3;s1_as;s2_as;s3_as;mortality_bs;mortality_as;employment_bs;employment_as;absence_bs;absence_as;cancer_bs;cancer_as
2012;40-44;K;0.561223085;0.244236845;0.19454007;0.001122235;1188521.727;0.698288613;829931.1876;6330.303581;0.003485015;0.007627504;1.052;1;0.79;1;0.99;1;0.82;1;0.921020155;0.001218469;0.000999145;0.000999145;1.0228164;0.682711592;0.718212595;0.718212595;0.907856848;6972.799288;5508.511437;5508.511437;0.995612231;0.003500374;0.00346537;0.00346537;0.280611542;0.384542616;0.334845841;0.001122235;0.00106069;0.698288613;0.708250604;6330.303581;5919.407509;0.003485015;0.003475192
2012;40-44;M;0.599470815;0.230818351;0.169710834;0.003394887;1211018.458;0.766415016;928142.7316;6247.997987;0.001724498;0.006731721;1.038;1;0.79;1;0.99;1;0.9;1;0.959947082;0.003536536;0.003182882;0.003182882;1.015220109;0.754924976;0.783612125;0.783612125;0.915888871;6821.786117;5389.211033;5389.211033;0.995994708;0.001731433;0.001714118;0.001714118;0.299735408;0.380686055;0.319578538;0.003394887;0.003288885;0.766415016;0.775013571;6247.997987;5818.60451;0.001724498;0.001719308
2012;45-49;K;0.652991476;0.16156271;0.185445814;0.001962301;1200539.304;0.685976741;823542.0389;6296.630666;0.005547583;0.007645791;1;1;0.79;1;0.99;1;0.82;1;0.937538466;0.002093035;0.001716289;0.001716289;1;0.685976741;0.685976741;0.685976741;0.92712821;6791.542526;5365.318595;5365.318595;0.996529915;0.0055669;0.005511231;0.005511231;0.326495738;0.324810579;0.348693683;0.001962301;0.001839295;0.685976741;0.685976741;6296.630666;5830.97463;0.005547583;0.005529407
2012;45-49;M;0.681887031;0.147061119;0.17105185;0.005515732;1204135.327;0.728684858;877435.1797;5868.670841;0.003481682;0.006688438;1;1;0.79;1;0.99;1;0.9;1;0.968188703;0.005696959;0.005127263;0.005127263;1;0.728684858;0.728684858;0.728684858;0.933196277;6288.785102;4968.14023;4968.14023;0.99681887;0.003492793;0.003457865;0.003457865;0.340943516;0.317532877;0.341523608;0.005515732;0.005321498;0.728684858;0.728684858;5868.670841;5418.405536;0.003481682;0.003469774
2012;50-54;K;0.652991476;0.16156271;0.185445814;0.003488863;1448390.589;0.607653341;880119.3797;8961.741658;0.008460094;0.010182416;1;1;0.79;1;0.99;1;0.82;1;0.937538466;0.003721301;0.003051467;0.003051467;1;0.607653341;0.607653341;0.607653341;0.92712821;9666.129842;7636.242575;7636.242575;0.996529915;0.008489554;0.008404658;0.008404658;0.326495738;0.324810579;0.348693683;0.003488863;0.003270165;0.607653341;0.607653341;8961.741658;8298.992117;0.008460094;0.008432376
2012;50-54;M;0.681887031;0.147061119;0.17105185;0.009178194;1401242.554;0.675841929;947018.471;8999.863344;0.007016209;0.009503366;1;1;0.79;1;0.99;1;0.9;1;0.968188703;0.009479757;0.008531782;0.008531782;1;0.675841929;0.675841929;0.675841929;0.933196277;9644.126932;7618.860276;7618.860276;0.99681887;0.007038599;0.006968213;0.006968213;0.340943516;0.317532877;0.341523608;0.009178194;0.008854988;0.675841929;0.675841929;8999.863344;8309.36181;0.007016209;0.006992211
2012;55-59;K;0.726922709;0.160450143;0.112627148;0.005447754;1529075.183;0.411048572;628524.1706;6423.782512;0.012033059;0.010220422;1;1;0.79;1;0.99;1;0.82;1;0.950846088;0.005729375;0.004698088;0.004698088;1;0.411048572;0.411048572;0.411048572;0.942653769;6814.572565;5383.512326;5383.512326;0.997269227;0.012066008;0.011945348;0.011945348;0.363461355;0.34218082;0.294357825;0.005447754;0.005072921;0.411048572;0.411048572;6423.782512;5903.647419;0.012033059;0.011989203
2012;55-59;M;0.706879865;0.170736708;0.122383427;0.01390914;1408692.373;0.574950307;809928.1124;7656.382696;0.012730203;0.009453163;1;1;0.79;1;0.99;1;0.9;1;0.970687987;0.014329157;0.012896241;0.012896241;1;0.574950307;0.574950307;0.574950307;0.938444772;8158.586341;6445.283209;6445.283209;0.997068799;0.012767627;0.012639951;0.012639951;0.353439933;0.347456674;0.299103393;0.01390914;0.013402691;0.574950307;0.574950307;7656.382696;7050.832953;0.012730203;0.012685077
2012;60-64;K;0.726922709;0.160450143;0.112627148;0.008441399;1342334.481;0.15861255;212911.0948;1135.68757;0.015750538;0.005334093;1;1;0.79;1;0.99;1;0.82;1;0.950846088;0.008877777;0.007279777;0.007279777;1;0.15861255;0.15861255;0.15861255;0.942653769;1204.776989;951.7738216;951.7738216;0.997269227;0.015793667;0.01563573;0.01563573;0.363461355;0.34218082;0.294357825;0.008441399;0.007860588;0.15861255;0.15861255;1135.68757;1043.730696;0.015750538;0.015693134
2012;60-64;M;0.706879865;0.170736708;0.122383427;0.020588573;1155506.452;0.348135226;402272.5001;4900.317005;0.021413567;0.012181586;1;1;0.79;1;0.99;1;0.9;1;0.970687987;0.02121029;0.019089261;0.019089261;1;0.348135226;0.348135226;0.348135226;0.938444772;5221.74256;4125.176622;4125.176622;0.997068799;0.021476519;0.021261753;0.021261753;0.353439933;0.347456674;0.299103393;0.020588573;0.019838917;0.348135226;0.348135226;4900.317005;4512.746814;0.021413567;0.02133766
2012;65-69;K;0.828995104;0.089892778;0.081112117;0.012481304;817443.1186;0.066605544;54446.24346;0;0.019690477;0;1;1;0.79;1;0.99;1;0.82;1;0.969219119;0.012877691;0.010559707;0.010559707;1;0.066605544;0.066605544;0.066605544;0.964088972;0;0;0;0.998289951;0.019724206;0.019526964;0.019526964;0.414497552;0.297141554;0.288360894;0.012481304;0.011520506;0.066605544;0.066605544;0;0;0.019690477;0.019608721
2012;65-69;M;0.781536116;0.105467002;0.112996882;0.028776972;638652.7892;0.149991668;95792.59732;0;0.030976667;0;1;1;0.79;1;0.99;1;0.9;1;0.978153612;0.029419686;0.026477717;0.026477717;1;0.149991668;0.149991668;0.149991668;0.954122584;0;0;0;0.997815361;0.031044488;0.030734043;0.030734043;0.390768058;0.300851031;0.308380911;0.028776972;0.027627344;0.149991668;0.149991668;0;0;0.030976667;0.030855355
2012;70-74;K;0.828995104;0.089892778;0.081112117;0.018875469;787781.0111;0.028936051;22795.27184;0;0.018084978;0;1;1;0.79;1;0.99;1;0.82;1;0.969219119;0.019474924;0.015969438;0.015969438;1;0.028936051;0.028936051;0.028936051;0.964088972;0;0;0;0.998289951;0.018115957;0.017934797;0.017934797;0.414497552;0.297141554;0.288360894;0.018875469;0.017422453;0.028936051;0.028936051;0;0;0.018084978;0.018009887
2012;70-74;M;0.781536116;0.105467002;0.112996882;0.040475969;534281.7625;0.069394493;37076.21183;0;0.035583561;0;1;1;0.79;1;0.99;1;0.9;1;0.978153612;0.041379972;0.037241975;0.037241975;1;0.069394493;0.069394493;0.069394493;0.954122584;0;0;0;0.997815361;0.035661469;0.035304854;0.035304854;0.390768058;0.300851031;0.308380911;0.040475969;0.038858972;0.069394493;0.069394493;0;0;0.035583561;0.035444208
2012;75-79;K;0.963062461;0;0.036937539;0.032628251;719284.1066;0.014322595;10302.01489;0;0.017682774;0;1;1;0.79;1;0.99;1;0.82;1;0.993351243;0.032846641;0.026934245;0.026934245;1;0.014322595;0.014322595;0.014322595;0.992243117;0;0;0;0.999630625;0.017689308;0.017512414;0.017512414;0.481531231;0.240765615;0.277703154;0.032628251;0.029781248;0.014322595;0.014322595;0;0;0.017682774;0.017597594
2012;75-79;M;0.94432293;0;0.05567707;0.060538138;424126.9229;0.041879349;17762.15933;0;0.038642153;0;1;1;0.79;1;0.99;1;0.9;1;0.994432293;0.060877084;0.054789375;0.054789375;1;0.041879349;0.041879349;0.041879349;0.988307815;0;0;0;0.999443229;0.03866368;0.038277043;0.038277043;0.472161465;0.236080732;0.291757803;0.060538138;0.057663757;0.041879349;0.041879349;0;0;0.038642153;0.038459598
2012;80-100;K;0.963062461;0;0.036937539;0.128024213;983115.6555;0.003839834;3775.001105;0;0.212298495;0;1;1;0.79;1;0.99;1;0.82;1;0.993351243;0.128881113;0.105682512;0.105682512;1;0.003839834;0.003839834;0.003839834;0.992243117;0;0;0;0.999630625;0.212376942;0.210253172;0.210253172;0.481531231;0.240765615;0.277703154;0.128024213;0.116853363;0.003839834;0.003839834;0;0;0.212298495;0.211275833
2012;80-100;M;0.94432293;0;0.05567707;0.149545511;423655.4472;0.01620744;6866.370372;0;0.032731063;0;1;1;0.79;1;0.99;1;0.9;1;0.994432293;0.150382798;0.135344518;0.135344518;1;0.01620744;0.01620744;0.01620744;0.988307815;0;0;0;0.999443229;0.032749297;0.032421804;0.032421804;0.472161465;0.236080732;0.291757803;0.149545511;0.142445014;0.01620744;0.01620744;0;0;0.032731063;0.032576434
